name,batch,location,description,tags,yc_profile_url,website,status,team_size
Last Accounting Company,Summer 2026,"San Francisco, CA, USA",Agent-native accounting firm.,"B2B, FINANCE AND ACCOUNTING",https://www.ycombinator.com/companies/last-accounting-company,,,
Computable,Summer 2026,"New York City, NY, USA","Buy, sell, and redeem GPU hours for any week with instant liquidity",FINTECH,https://www.ycombinator.com/companies/computable,,,
Denta,Summer 2026,"San Francisco, CA, USA",The dental practice that runs itself,"HEALTHCARE, HEALTHCARE IT",https://www.ycombinator.com/companies/denta,,,
Isengard Industries Inc,Summer 2026,"San Francisco, CA, USA",Mass-produced AI strike systems and Counter-UAS,"INDUSTRIALS, DEFENSE",https://www.ycombinator.com/companies/isengard-industries-inc,,,
Vestris,Summer 2026,"San Francisco, CA, USA",AI native platform for real estate closings,"REAL ESTATE AND CONSTRUCTION, HOUSING AND REAL ESTATE",https://www.ycombinator.com/companies/vestris,,,
"PokerClubHubJaco, Puntarenas Province, Costa Rica",Summer 2026,,Host a Poker Club and Make Money,"CONSUMER, GAMING",https://www.ycombinator.com/companies/pokerclubhub,,,
Neuron Industries,Summer 2026,"Los Angeles, CA, USA",Industrial Controllers built for AI,"INDUSTRIALS, MANUFACTURING AND ROBOTICS",https://www.ycombinator.com/companies/neuron-industries,,,
"LATOSan Francisco, CA, USA",Summer 2026,,Agent-native research and simulation platform for investors,B2B,https://www.ycombinator.com/companies/lato,,,
Risklytics,Summer 2026,"San Francisco, CA, USA",AI-Native Brokerage for Hard-to-Place Commercial Insurance,"FINTECH, INSURANCE",https://www.ycombinator.com/companies/risklytics,,,
Daqstra,Summer 2026,"San Francisco, CA, USA",AI-native orchestration for physical R&D testing,B2B,https://www.ycombinator.com/companies/daqstra,,,
Fabraix,Summer 2026,"San Francisco, CA, USA",The world's frontier hacker for AI agents.,"B2B, SECURITY",https://www.ycombinator.com/companies/fabraix,,,
Rational,Summer 2026,"San Francisco, CA, USA",AI Employees for Accounting,"B2B, OPERATIONS",https://www.ycombinator.com/companies/rational,,,
Aktoria Robotics,Summer 2026,"San Francisco, CA, USA",Human as API for robots,"INDUSTRIALS, MANUFACTURING AND ROBOTICS",https://www.ycombinator.com/companies/aktoria-robotics,,,
Vendo,Summer 2026,"San Francisco, CA, USA",Let your users build their own features on top of your product,B2B,https://www.ycombinator.com/companies/vendo,,,
"WhitespaceLondon, England, United Kingdom",Summer 2026,,AI Operating System for Wholesale Distributors,"B2B, SUPPLY CHAIN AND LOGISTICS",https://www.ycombinator.com/companies/whitespace,,,
"OrvixoLondon, England, United Kingdom",Summer 2026,,AI advanced planning and optimisation for manufacturers.,"INDUSTRIALS, MANUFACTURING AND ROBOTICS",https://www.ycombinator.com/companies/orvixo,,,
Blue Frog Gaming,Summer 2007,"Akron, OH, USA",,"CONSUMER, GAMING",https://www.ycombinator.com/companies/blue-frog-gaming,,,
Almanac,Summer 2026,"San Francisco, CA, USA",Self updating wiki for your coding agents,B2B,https://www.ycombinator.com/companies/almanac,,,
Greypoint Industries,Summer 2026,"San Francisco, CA, USA",Manufacturing the future of autonomous swarm warfare.,"INDUSTRIALS, DEFENSE",https://www.ycombinator.com/companies/greypoint-industries,,,
"Graphify LabsLondon, England, United Kingdom",Summer 2026,,On-device knowledge graph engine for enterprises,B2B,https://www.ycombinator.com/companies/graphify-labs,,,
"Ooak DataParis, Île-de-France, France",Summer 2026,,We build the world's largest library of real-world business workflow…,B2B,https://www.ycombinator.com/companies/ooak-data,,,
Nori,Summer 2026,"New York City, NY, USA",Sub-1500$ robot anyone can program,"INDUSTRIALS, MANUFACTURING AND ROBOTICS",https://www.ycombinator.com/companies/noril1,,,
6thSense,Summer 2026,"San Francisco, CA, USA",A nervous system for physical AI,"INDUSTRIALS, MANUFACTURING AND ROBOTICS",https://www.ycombinator.com/companies/6thsense,,,
Bloomy,Summer 2026,"San Francisco, CA, USA",AI-powered mastery learning for K-12,EDUCATION,https://www.ycombinator.com/companies/bloomy,,,
"machine0Paris, Île-de-France, France",Summer 2026,,One command gives your agent its own cloud computer,"B2B, INFRASTRUCTURE",https://www.ycombinator.com/companies/machine0,,,
Pluto,Summer 2026,"New York City, NY, USA",AI voice agent that helps professionals get discovered,"CONSUMER, JOB AND CAREER SERVICES",https://www.ycombinator.com/companies/talentpluto,,,
FlowManual,Summer 2026,"San Francisco, CA, USA",AI for Construction's Back Office.,"REAL ESTATE AND CONSTRUCTION, CONSTRUCTION",https://www.ycombinator.com/companies/flowmanual,,,
Molagri,Summer 2026,"Toronto, ON, Canada",Resistance free pesticides.,"INDUSTRIALS, AGRICULTURE",https://www.ycombinator.com/companies/molagri,,,
Cerenovus,Summer 2026,"San Francisco, CA, USA",A knowledge company,B2B,https://www.ycombinator.com/companies/cerenovus,,,
Agency Tool Company,Summer 2026,"Denver, CO, USA","Reliable infrastructure to build, deploy and manage real-world robots.","INDUSTRIALS, MANUFACTURING AND ROBOTICS",https://www.ycombinator.com/companies/agency-tool-company,,,
Traceforce,Summer 2026,"San Francisco, CA, USA",Securing AI native apps directly on devices,"B2B, SECURITY",https://www.ycombinator.com/companies/traceforce,,,
Definite,Summer 2026,"San Francisco, CA, USA",Build everyday back-office agents on one live model of your books,"B2B, FINANCE AND ACCOUNTING",https://www.ycombinator.com/companies/definite,,,
"Alkera AISan Francisco, CA, USA",Summer 2026,,Reliable and safe data engineering and data science agents,B2B,https://www.ycombinator.com/companies/alkera-ai,,,
Manifold,Summer 2026,"Los Angeles, CA, USA","Low-cost, deployment-ready robotic labor for warehouses","INDUSTRIALS, MANUFACTURING AND ROBOTICS",https://www.ycombinator.com/companies/manifold-2,,,
screenpipe,Summer 2026,"San Francisco, CA, USA","AI powered by everything you've seen, said or heard","B2B, PRODUCTIVITY",https://www.ycombinator.com/companies/screenpipe,,,
"ZaplarStockholm, Stockholm County, Sweden",Summer 2026,,Agentic Hotel Operating System,"B2B, OPERATIONS",https://www.ycombinator.com/companies/zaplar,,,
Touchmark,Summer 2026,"San Francisco, CA, USA",Solving AI pricing,"B2B, INFRASTRUCTURE",https://www.ycombinator.com/companies/touchmark,,,
Codag,Summer 2026,"San Francisco, CA, USA",Log compression for agents.,"B2B, INFRASTRUCTURE",https://www.ycombinator.com/companies/codag,,,
Context.dev,Summer 2026,"San Francisco, CA, USA",We give AI agents realtime web context.,"B2B, INFRASTRUCTURE",https://www.ycombinator.com/companies/contextdev,,,
Glen,Summer 2026,"San Francisco, CA, USA",Unified organizational context for agents and humans,"B2B, PRODUCTIVITY",https://www.ycombinator.com/companies/glen,,,
Truffle,Summer 2026,"New York City, NY, USA",The autonomous back-of-house for restaurants.,B2B,https://www.ycombinator.com/companies/truffle,,,
"AllooviumBrisbane, QLD, Australia",Summer 2026,,Construction paperwork that finally works for your team,"REAL ESTATE AND CONSTRUCTION, CONSTRUCTION",https://www.ycombinator.com/companies/alloovium,,,
Dialogus,Summer 2026,"San Francisco, CA, USA",Infra for enterprise voice agents.,"B2B, INFRASTRUCTURE",https://www.ycombinator.com/companies/dialogus,,,
Bizmark,Summer 2026,"San Francisco, CA, USA","The OS for companies that make, move, or sell physical goods",B2B,https://www.ycombinator.com/companies/bizmark,,,
Buildbox,Summer 2026,"San Francisco, CA, USA",Understand how users experience your AI agents,"B2B, ANALYTICS",https://www.ycombinator.com/companies/buildbox,,,
RealPact,Summer 2026,"San Francisco, CA, USA",AI-native OS for Real Estate Brokerages,"REAL ESTATE AND CONSTRUCTION, HOUSING AND REAL ESTATE",https://www.ycombinator.com/companies/realpact,,,
"GUILDNew York City, NY, USA",Summer 2026,,Making aerospace parts faster and cheaper for defense,"INDUSTRIALS, DEFENSE",https://www.ycombinator.com/companies/guild,,,
Floracene,Summer 2026,"New York City, NY, USA",Optimized medical device purchasing for independent providers,HEALTHCARE,https://www.ycombinator.com/companies/floracene,,,
Rise Reforming,Summer 2026,"Chicago, IL, USA",We turn waste gases into valuable supply-secure chemicals,"INDUSTRIALS, CLIMATE",https://www.ycombinator.com/companies/rise-reforming,,,
Instaplay,Summer 2026,"San Francisco, CA, USA","AI-Native Social Platform, Starting with Games","CONSUMER, GAMING",https://www.ycombinator.com/companies/instaplay,,,
Verdant,Summer 2026,"San Francisco, CA, USA",AI-native land-use permit management for local gov,GOVERNMENT,https://www.ycombinator.com/companies/verdant,,,
Insurf,Summer 2026,"San Francisco, CA, USA",The AI-Native Decision Infrastructure for Health Insurance,HEALTHCARE,https://www.ycombinator.com/companies/insurf,,,
LemonLime,Summer 2026,"San Francisco, CA, USA",No-code AI that learns your business and self-creates automations.,B2B,https://www.ycombinator.com/companies/lemonlime,,,
Gutgutgoose,Summer 2026,"San Francisco, CA, USA",AI training infrastructure via custom probiotics,HEALTHCARE,https://www.ycombinator.com/companies/gutgutgoose,,,
Speko,Summer 2026,"San Francisco, CA, USA",OpenRouter for voice AI,"B2B, INFRASTRUCTURE",https://www.ycombinator.com/companies/speko,,,
Synapse Semiconductor,Summer 2026,"Durham, NC, USA",Collapsing the edge AI vision hardware stack into one wafer,INDUSTRIALS,https://www.ycombinator.com/companies/synapse-semiconductor,,,
Understudy Labs,Summer 2026,"San Francisco, CA, USA",Effortlessly move to open weight models,"B2B, INFRASTRUCTURE",https://www.ycombinator.com/companies/understudy-labs,,,
Rote,Winter 2027,"San Francisco, CA, USA",AI-native insurance department for auto body shops,"B2B, OPERATIONS",https://www.ycombinator.com/companies/rote,,,
Prized,Summer 2026,"San Francisco, CA, USA",Lovable for internal tools,B2B,https://www.ycombinator.com/companies/prized,,,
Maingen,Summer 2026,"San Francisco, CA, USA",RL environments for industrial operations,"INDUSTRIALS, ENERGY",https://www.ycombinator.com/companies/maingen,,,
Rex,Summer 2026,"San Francisco, CA, USA",AI Operations Partner for Enterprise Order to Cash,"B2B, FINANCE AND ACCOUNTING",https://www.ycombinator.com/companies/rex-inc,,,
Zomma,Summer 2026,"San Francisco, CA, USA",Computer Use Agents for back offices in finance,B2B,https://www.ycombinator.com/companies/zomma,,,
Nebula Security,Summer 2026,"Vancouver, WA, USA",A security engineer in your team,"B2B, SECURITY",https://www.ycombinator.com/companies/nebula-security,,,
Trope,Summer 2026,"San Francisco, CA, USA",Modernize ERP Implementations with AI,B2B,https://www.ycombinator.com/companies/trope,,,
Parasma,Summer 2026,"San Francisco, CA, USA",Training human brain cells for AI compute,"B2B, INFRASTRUCTURE",https://www.ycombinator.com/companies/parasma,,,
Belvedir,Summer 2026,"San Francisco, CA, USA",The autonomous private AI platform.,B2B,https://www.ycombinator.com/companies/belvedir,,,
Shielded,Summer 2026,"San Francisco, CA, USA",We automate supply chain and financial risk management,"B2B, FINANCE AND ACCOUNTING",https://www.ycombinator.com/companies/shielded,,,
Olam Labs,Summer 2026,"San Francisco, CA, USA",Evaluating models for behavior and performance through simulated games,B2B,https://www.ycombinator.com/companies/olam-labs,,,
Egoist Machines,Summer 2026,"San Francisco, CA, USA",User-owned memory and preferences that work across every AI app,CONSUMER,https://www.ycombinator.com/companies/egoist-machines,,,
"Perceptron MLSan Francisco, CA, USA",Summer 2026,,We make law firms AI-native.,B2B,https://www.ycombinator.com/companies/perceptron-ml,,,
"HERASeattle, WA, USA",Summer 2026,,Hera catches thousand dollar errors before they hit the shop floor.,INDUSTRIALS,https://www.ycombinator.com/companies/manufacturingintelligence,,,
Donkey,Summer 2026,"San Francisco, CA, USA",The AI-native trading company: China factory-direct for US importers,"B2B, SUPPLY CHAIN AND LOGISTICS",https://www.ycombinator.com/companies/donkey,,,
OpenTrade,Summer 2026,"Seattle, WA, USA",The new interface for investing.,CONSUMER,https://www.ycombinator.com/companies/opentrade,,,
Hoplite,Summer 2026,"San Francisco, CA, USA",Effortlessly deploy cloud software factories.,B2B,https://www.ycombinator.com/companies/hoplite,,,
CleverDeck,Winter 2012,"San Francisco, CA, USA",Collaborate with an artist to commission original artwork you'll live…,EDUCATION,https://www.ycombinator.com/companies/cleverdeck,,,
"PangoStockholm, Stockholm County, Sweden",Summer 2026,,Agentic OS for e-commerce operations,"B2B, RETAIL",https://www.ycombinator.com/companies/pango,,,
Torus,Summer 2026,"San Francisco, CA, USA",Legora for physical engineering firms,INDUSTRIALS,https://www.ycombinator.com/companies/torus,,,
Kebra,Summer 2026,"San Francisco, CA, USA",Make your field service company AI-native,"B2B, OPERATIONS",https://www.ycombinator.com/companies/kebra,,,
"RightNowAmman, Amman Governorate, Jordan",Fall 2026,,Enabling Model-Hardware Co-Design at Scale,"B2B, INFRASTRUCTURE",https://www.ycombinator.com/companies/rightnow,,,
Akkari,Spring 2026,"San Francisco, CA, USA",Autonomous Customer Operations,B2B,https://www.ycombinator.com/companies/akkari,,,
HeyClicky,Spring 2026,"San Francisco, CA, USA",The simplest interface in the world to talk AI models + spawn agents,CONSUMER,https://www.ycombinator.com/companies/heyclicky,,,
Rindler,Summer 2026,"Boston, MA, USA",The translation layer between AI agents and the web,"B2B, INFRASTRUCTURE",https://www.ycombinator.com/companies/rindler,,,
Proprio Robotics,Summer 2026,"San Francisco, CA, USA",Building autonomous data centers,"INDUSTRIALS, MANUFACTURING AND ROBOTICS",https://www.ycombinator.com/companies/proprio-robotics,,,
Huscarl,Spring 2026,"San Francisco, CA, USA",AI-native actuary enabling self-insurance for corporations,"FINTECH, INSURANCE",https://www.ycombinator.com/companies/huscarl,,,
Thomas,Spring 2026,"San Francisco, CA, USA",The first AI founder: a virtual human who runs his own companies.,B2B,https://www.ycombinator.com/companies/thomas,,,
Cohesion,Spring 2026,"New York City, NY, USA",Agents that automate research for institutional investors,"B2B, FINANCE AND ACCOUNTING",https://www.ycombinator.com/companies/cohesion,,,
Maquoketa Research,Spring 2026,"San Francisco, CA, USA",The intelligence layer for drones,"INDUSTRIALS, DEFENSE",https://www.ycombinator.com/companies/maquoketa-research,,,
Intelligence Factory,Spring 2026,"San Francisco, CA, USA",Human Intelligence for Robots,"INDUSTRIALS, MANUFACTURING AND ROBOTICS",https://www.ycombinator.com/companies/intelligence-factory,,,
rekursiv.ai,Summer 2026,"San Francisco, CA, USA",Scale AI scientists whose own breakthroughs accelerate the next.,"B2B, PRODUCTIVITY",https://www.ycombinator.com/companies/rekursivai,,,
Clawvisor,Spring 2026,"San Francisco, CA, USA",The Authorization Layer for AI Agents,"B2B, SECURITY",https://www.ycombinator.com/companies/clawvisor,,,
Framewise Health,Spring 2026,"San Francisco, CA, USA",AI-native patient engagement,HEALTHCARE,https://www.ycombinator.com/companies/framewise-health,,,
Arctic Health,Spring 2026,"New York City, NY, USA",AI-native credentialing and contracting for healthcare,"HEALTHCARE, HEALTHCARE SERVICES",https://www.ycombinator.com/companies/arctic-health,,,
Playabl.ai,Spring 2026,"San Francisco, CA, USA",TikTok for User-generated Games,"CONSUMER, GAMING",https://www.ycombinator.com/companies/playablai,,,
Enjamb Labs,Spring 2026,"San Francisco, CA, USA","Where drug teams run their entire program, discovery to FDA approval",B2B,https://www.ycombinator.com/companies/enjamb-labs,,,
Hyper,Spring 2026,"San Francisco, CA, USA",Company brain that powers your AI employees,"B2B, PRODUCTIVITY",https://www.ycombinator.com/companies/hyper-4,,,
InsForge,Spring 2026,"San Francisco, CA, USA",The agent-native AWS,B2B,https://www.ycombinator.com/companies/insforge,,,
ReasonBlocks,Spring 2026,"San Francisco, CA, USA",The runtime layer that makes AI agents cheaper and more reliable,B2B,https://www.ycombinator.com/companies/reasonblocks,,,
Modern,Spring 2026,"San Francisco, CA, USA",Modern - the ServiceNow killer,"B2B, OPERATIONS",https://www.ycombinator.com/companies/modern,,,
Panacea,Spring 2026,"San Francisco, CA, USA",AI-Native FDA Regulatory Services,"HEALTHCARE, HEALTHCARE SERVICES",https://www.ycombinator.com/companies/panacea,,,
CentralComs,Spring 2026,"San Francisco, CA, USA",AI Agents for Property Management,"REAL ESTATE AND CONSTRUCTION, HOUSING AND REAL ESTATE",https://www.ycombinator.com/companies/centralcoms,,,
KugelAudio,Spring 2026,"San Francisco, CA, USA",Kugel is an on-prem Voice AI model supporting 30+ languages,"B2B, INFRASTRUCTURE",https://www.ycombinator.com/companies/kugelaudio,,,
Klaimee,Spring 2026,"San Francisco, CA, USA","Liability insurance for AI Agents. You deploy agents, we cover you.","FINTECH, INSURANCE",https://www.ycombinator.com/companies/klaimee,,,
flowscope,Spring 2026,"San Francisco, CA, USA",AI-native consulting to map and automate business processes,B2B,https://www.ycombinator.com/companies/flowscope,,,
Gigacatalyst,Spring 2026,"San Francisco, CA, USA",Let software users build new features with our in-app AI agents,B2B,https://www.ycombinator.com/companies/gigacatalyst,,,
Arlo Industries,Spring 2026,"San Francisco, CA, USA","Track drones and missiles without radars - Accurate, Passive, Scalable","INDUSTRIALS, DEFENSE",https://www.ycombinator.com/companies/arlo-industries,,,
Astraea,Spring 2026,"San Francisco, CA, USA",AI Operating System for Clinical Development,B2B,https://www.ycombinator.com/companies/astraea,,,
Lattice Health,Spring 2026,"San Francisco, CA, USA",Monitoring and governance for deployed medical imaging AI,HEALTHCARE,https://www.ycombinator.com/companies/lattice-health,,,
Atlas Discovery,Summer 2026,"San Francisco, CA, USA",Predicting human response to drugs in clinical trials,"HEALTHCARE, DRUG DISCOVERY AND DELIVERY",https://www.ycombinator.com/companies/atlas-discovery,,,
Manicule,Spring 2026,"San Francisco, CA, USA",AgentRel — Devrel For Agents,"B2B, MARKETING",https://www.ycombinator.com/companies/manicule,,,
Avea Robotics,Spring 2026,"San Francisco, CA, USA",The human-in-the-loop system for robots,"INDUSTRIALS, MANUFACTURING AND ROBOTICS",https://www.ycombinator.com/companies/avea-robotics,,,
Mochatrade,Spring 2026,"San Francisco, CA, USA",US stock perps for Indian traders,"FINTECH, CONSUMER FINANCE",https://www.ycombinator.com/companies/mochatrade,,,
"Asendia AISan Francisco, CA, USA",Spring 2026,,AI recruiters for staffing agencies,B2B,https://www.ycombinator.com/companies/asendia-ai,,,
Revnu,Spring 2026,"San Francisco, CA, USA",The growth infrastructure for the autonomous business,"B2B, MARKETING",https://www.ycombinator.com/companies/revnu,,,
Uno Wallet,Spring 2026,"San Francisco, CA, USA",The AI mobile wallet that replaces Apple Pay,"FINTECH, PAYMENTS",https://www.ycombinator.com/companies/uno-wallet,,,
Arden,Spring 2026,"San Francisco, CA, USA",AI-native internal audit firm,"B2B, FINANCE AND ACCOUNTING",https://www.ycombinator.com/companies/arden,,,
AgentPhone,Spring 2026,,Phone Numbers for AI Agents,"B2B, INFRASTRUCTURE",https://www.ycombinator.com/companies/agentphone,,,
Gravy,Spring 2026,"San Francisco, CA, USA","Agents that move money, trade stocks, and file taxes.","FINTECH, CONSUMER FINANCE",https://www.ycombinator.com/companies/gravy,,,
Kinect,Spring 2026,"San Francisco, CA, USA",The AI revenue platform for D2C brands,B2B,https://www.ycombinator.com/companies/kinect,,,
Runtime,Spring 2026,"San Francisco, CA, USA","Build and run internal agents, without managing the infrastructure",B2B,https://www.ycombinator.com/companies/runtime,,,
YouArt,Spring 2026,"San Francisco, CA, USA",Patreon for AI Originals,"CONSUMER, CONTENT",https://www.ycombinator.com/companies/youart,,,
Expanse,Spring 2026,"San Francisco, CA, USA",Unlock wasted GPU capacity.,"B2B, INFRASTRUCTURE",https://www.ycombinator.com/companies/expanse,,,
CharacterQuilt,Spring 2026,"San Francisco, CA, USA",Computer use agents to deploy enterprise marketing campaigns,"B2B, MARKETING",https://www.ycombinator.com/companies/characterquilt,,,
Pentagon,Spring 2026,"Salt Lake City, UT, USA",The control plane for agent-native work.,"B2B, PRODUCTIVITY",https://www.ycombinator.com/companies/pentagon,,,
Arzana,Spring 2026,"New York City, NY, USA",The autonomous ERP for every manufacturer,"B2B, OPERATIONS",https://www.ycombinator.com/companies/arzana,,,
Auxos,Spring 2026,"San Francisco, CA, USA",Simulations of real people for market research,B2B,https://www.ycombinator.com/companies/auxos,,,
Project,Spring 2026,"XSan Francisco, CA, USA",Agent native workspace for heavy parallel workflows on the web,"B2B, INFRASTRUCTURE",https://www.ycombinator.com/companies/projectx,,,
Tolmo,Spring 2026,"San Francisco, CA, USA",Tolmo is the AI security platform that secures every layer of cloud…,"B2B, SECURITY",https://www.ycombinator.com/companies/tolmo,,,
OpenWork,Spring 2026,"San Francisco, CA, USA",The open source alternative to Claude Cowork,"B2B, PRODUCTIVITY",https://www.ycombinator.com/companies/openwork,,,
"Apollo Atomics, Inc.Boston, MA, USA",Spring 2026,,We make the most compact nuclear reactors,"INDUSTRIALS, ENERGY",https://www.ycombinator.com/companies/apollo-atomics-inc,,,
General Aviation,Spring 2026,"San Francisco, CA, USA",Fix ATC by connecting aircraft to the internet,"INDUSTRIALS, AVIATION AND SPACE",https://www.ycombinator.com/companies/general-aviation,,,
OpenProse,Spring 2026,"San Francisco, CA, USA",An open-source operating system for reliable long-running agents,B2B,https://www.ycombinator.com/companies/openprose,,,
Aster,Spring 2026,"San Francisco, CA, USA",Automating open-ended research.,"B2B, PRODUCTIVITY",https://www.ycombinator.com/companies/asterlab,,,
Amboras,Spring 2026,"San Francisco, CA, USA",AI Native Shopify,B2B,https://www.ycombinator.com/companies/amboras,,,
Hessian,Spring 2026,"San Francisco, CA, USA",Forward-deployed AI Agents,B2B,https://www.ycombinator.com/companies/hessian,,,
"RASPIRESan Francisco, CA, USA",Spring 2026,,Autonomous Runtime Security,"B2B, SECURITY",https://www.ycombinator.com/companies/raspire,,,
Plena Health,Spring 2026,"San Francisco, CA, USA",Plena is the AI operating system for specialty medical practices,"HEALTHCARE, HEALTHCARE SERVICES",https://www.ycombinator.com/companies/plena-health,,,
TesterArmy,Spring 2026,"San Francisco, CA, USA","Test your app with AI, catch bugs before users do",B2B,https://www.ycombinator.com/companies/testerarmy,,,
Eden Robotics,Spring 2026,"San Francisco, CA, USA",Autonomous services for humanity.,"INDUSTRIALS, MANUFACTURING AND ROBOTICS",https://www.ycombinator.com/companies/eden-robotics,,,
Foaster,Spring 2026,"San Francisco, CA, USA",The AI-native McKinsey,B2B,https://www.ycombinator.com/companies/foaster,,,
AquaShield,Spring 2026,"San Francisco, CA, USA",AI water leak detection for buildings,REAL ESTATE AND CONSTRUCTION,https://www.ycombinator.com/companies/aquashield,,,
Ornadyne,Spring 2026,"Los Angeles, CA, USA",We're building robot birds for surveillance.,"INDUSTRIALS, DRONES",https://www.ycombinator.com/companies/ornadyne,,,
"ANORIASan Francisco, CA, USA",Spring 2026,,The first wearable that reads your emotions to enhance your EQ.,"CONSUMER, CONSUMER ELECTRONICS",https://www.ycombinator.com/companies/anoria,,,
AbInitio Bio,Spring 2026,"Boston, MA, USA",The Intelligence layer for Drug Manufacturing,"HEALTHCARE, DRUG DISCOVERY AND DELIVERY",https://www.ycombinator.com/companies/abinitio-bio,,,
Memory Store,Spring 2026,"San Francisco, CA, USA",,"Company Brain., , B2B, INFRASTRUCTURE",https://www.ycombinator.com/companies/memory-store,,,
"Saudara AISan Francisco, CA, USA",Spring 2026,,AI Native Sourcing Broker For Overseas Manufacturing,B2B,https://www.ycombinator.com/companies/saudara-ai,,,
Pops,Spring 2026,"New York City, NY, USA",Create & play AI games with friends,"CONSUMER, GAMING",https://www.ycombinator.com/companies/pops,,,
Silmaril,Spring 2026,"San Francisco, CA, USA",Runtime security for AI that self-improves,B2B,https://www.ycombinator.com/companies/silmaril,,,
BioStack Platforms,Spring 2026,"San Francisco, CA, USA",Real world training envs for healthcare AI models,HEALTHCARE,https://www.ycombinator.com/companies/biostack-platforms,,,
Shepherd,Summer 2026,"San Francisco, CA, USA",Give your company the knowledge it deserves,B2B,https://www.ycombinator.com/companies/shepherd-3,,,
Ardent,Spring 2026,"San Francisco, CA, USA",Database sandboxes for Agents,"B2B, INFRASTRUCTURE",https://www.ycombinator.com/companies/ardent,,,
Kuli,Spring 2026,"San Francisco, CA, USA",AI coworker for marketing teams at the largest consumer brands,"B2B, MARKETING",https://www.ycombinator.com/companies/kuli,,,
Wato,Spring 2026,"San Francisco, CA, USA",The control point for AI agents at work.,"B2B, INFRASTRUCTURE",https://www.ycombinator.com/companies/wato,,,
Tasklet,Spring 2026,"San Francisco, CA, USA",Agents that own the work,"B2B, PRODUCTIVITY",https://www.ycombinator.com/companies/tasklet-2,,,
Chronicle Labs,Spring 2026,"San Francisco, CA, USA",Staging Environments for Enterprise AI Agents,B2B,https://www.ycombinator.com/companies/chronicle-labs,,,
Walter,Spring 2026,"San Francisco, CA, USA",AI Employee for Manufacturing Operations,"B2B, OPERATIONS",https://www.ycombinator.com/companies/walter,,,
Aseon Labs,Spring 2026,"San Francisco, CA, USA",Robotic pitstops for self-driving cars,"INDUSTRIALS, MANUFACTURING AND ROBOTICS",https://www.ycombinator.com/companies/aseon-labs,,,
Soria,Spring 2026,"New York City, NY, USA",AI Financial Research Terminal built for Healthcare (and beyond),"FINTECH, ASSET MANAGEMENT",https://www.ycombinator.com/companies/soria,,,
Armature,Spring 2026,"San Francisco, CA, USA",Improve how users experience your product through AI Agents,B2B,https://www.ycombinator.com/companies/armature,,,
"CollarSingapore, Singapore",Fall 2026,,The platform for AI-native private market investors.,B2B,https://www.ycombinator.com/companies/collar,,,
PLAN0 AI,Spring 2026,,Construction Cost Intelligence.,REAL ESTATE AND CONSTRUCTION,https://www.ycombinator.com/companies/plan0-ai,,,
Zibra Labs,Spring 2026,"San Francisco, CA, USA",Distributed runtime for AI workloads at scale,"B2B, INFRASTRUCTURE",https://www.ycombinator.com/companies/zibra-labs,,,
Ara,Spring 2026,"San Francisco, CA, USA",The Cloud Coding Agent,"B2B, PRODUCTIVITY",https://www.ycombinator.com/companies/ara,,,
ValCtrl,Spring 2026,"New York City, NY, USA",ValCtrl is building the only intelligent prediction market,"FINTECH, BANKING AND EXCHANGE",https://www.ycombinator.com/companies/valctrl,,,
General Instinct,Spring 2026,"San Francisco, CA, USA",Inference Infrastructure for Physical AI,"INDUSTRIALS, MANUFACTURING AND ROBOTICS",https://www.ycombinator.com/companies/general-instinct,,,
tday.com,Spring 2026,"San Francisco, CA, USA",AI that turns your product into on-brand marketing content,"B2B, MARKETING",https://www.ycombinator.com/companies/tdaycom,,,
"ED1THSan Francisco, CA, USA",Spring 2026,,CONSUMER ELECTRONICS,"Jarvis IRL, , CONSUMER",https://www.ycombinator.com/companies/ed1th,,,
Minicor,Spring 2026,"San Francisco, CA, USA",Scalable windows desktop automations,"B2B, INFRASTRUCTURE",https://www.ycombinator.com/companies/minicor,,,
Degla Inc,Fall 2026,"Boston, MA, USA",The fully autonomous intelligence layer in the sky.,"INDUSTRIALS, DRONES",https://www.ycombinator.com/companies/degla-inc,,,
Archer,Spring 2026,"San Francisco, CA, USA",Global payouts for the workforce powering AI,"FINTECH, PAYMENTS",https://www.ycombinator.com/companies/archer,,,
River Markets,Spring 2026,"San Francisco, CA, USA",Prime brokerage for prediction markets,FINTECH,https://www.ycombinator.com/companies/river-markets,,,
smol machines,Spring 2026,"San Francisco, CA, USA","Ship software faster with portable, self contained virtual machines.","B2B, INFRASTRUCTURE",https://www.ycombinator.com/companies/smol-machines,,,
Allowance,Spring 2026,"San Francisco, CA, USA",The spend control layer for AI agents,"FINTECH, PAYMENTS",https://www.ycombinator.com/companies/allowance,,,
Harbor,Spring 2026,"San Francisco, CA, USA",AI-native CRO for clinical trial operations,HEALTHCARE,https://www.ycombinator.com/companies/runharbor,,,
Alchemize,Spring 2026,"San Francisco, CA, USA",AI-Native Customs Brokerage,"B2B, SUPPLY CHAIN AND LOGISTICS",https://www.ycombinator.com/companies/alchemize,,,
Complir,Spring 2026,"San Francisco, CA, USA",Vanta for physical products,"B2B, RETAIL",https://www.ycombinator.com/companies/complir,,,
"AICESan Francisco, CA, USA",Spring 2026,,Submarine drones for defense,"INDUSTRIALS, DEFENSE",https://www.ycombinator.com/companies/aice,,,
